,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011
TAS_dwellings_$'000,,,,,,,,,,,,,,,,,,,,,,49701,50074,56446,38753,47416,43618,39147,42304,46605,42983,42262,39666,42719,41329,42970,31597,45157,56430,34312,45892,41220
TAS_townhouses_$'000,,,,,,,,,,,,,,,,,,,,,,10564,4045,8075,3260,3380,13585,10161,4937,7529,10508,9715,9755,9481,4331,10048,1709,7031,5489,7806,12140,6252
TAS_apartments_$'000,,,,,,,,,,,,,,,,,,,,,,10010,360,2360,460,4534,1010,220,582,6355,10285,605,4500,7900,15801,0,0,1500,6500,2350,4630,5655
TAS_other_$'000,,,,,,,,,,,,,,,,,,,,,,20574,4405,10435,3720,7914,14595,10381,5519,13884,20793,10320,14255,17381,20132,10048,1709,8531,11989,10156,16770,11907
VIC_dwellings,,,,,,,,,,,,,,,,,,,,,,3875,3415,2862,2435,3465,3718,3034,3210,3333,3514,3230,3198,3187,3068,2641,2234,2783,3200,2463,2986,2926
VIC_townhouses,,,,,,,,,,,,,,,,,,,,,,521,469,649,379,622,954,570,737,672,875,745,607,682,713,481,385,526,510,397,523,402
VIC_apartments,,,,,,,,,,,,,,,,,,,,,,429,825,1145,716,569,1339,1303,813,1389,1586,2003,1718,1379,1218,2038,1271,621,1886,1677,645,1504
VIC_other,,,,,,,,,,,,,,,,,,,,,,950,1294,1794,1095,1191,2293,1873,1550,2061,2461,2748,2325,2061,1931,2519,1656,1147,2396,2074,1168,1906
VIC_dwellings_$'000,,,,,,,,,,,,,,,,,,,,,,890532,816060,705151,581300,811906,916148,757727,815499,841931,897776,801935,838989,828679,806464,696111,567857,727187,833747,666129,773336,795234
VIC_townhouses_$'000,,,,,,,,,,,,,,,,,,,,,,96162,102579,116459,79918,126029,184885,106020,164187,147999,165585,144633,113909,134011,143378,100957,83559,106045,101310,78207,116929,86147
VIC_apartments_$'000,,,,,,,,,,,,,,,,,,,,,,76835,181154,237713,121639,127791,279793,309272,191395,370873,442818,356206,413184,274173,344171,407833,287817,112437,543540,458089,122544,335609
VIC_other_$'000,,,,,,,,,,,,,,,,,,,,,,172997,283733,354172,201557,253820,464678,415291,355582,518872,608402,500839,527094,408184,487548,508790,371375,218482,644851,536296,239474,421756
WA_dwellings,,,,,,,,,,,,,,,,,,,,,,1878,1824,1625,1387,1815,1679,1473,1736,1784,1418,1695,1538,1480,1574,1358,1115,1434,1382,1170,1453,1600
WA_townhouses,,,,,,,,,,,,,,,,,,,,,,318,281,198,395,291,646,261,217,190,357,119,231,225,279,113,126,93,331,172,277,122
WA_apartments,,,,,,,,,,,,,,,,,,,,,,61,25,147,226,335,248,207,135,82,35,60,67,69,197,235,125,118,96,82,151,34
WA_other,,,,,,,,,,,,,,,,,,,,,,379,306,345,621,626,894,468,352,272,392,179,298,294,476,348,251,211,427,254,428,156
WA_dwellings_$'000,,,,,,,,,,,,,,,,,,,,,,476592,439221,425620,355589,464227,456973,392310,463877,463159,381921,468258,408571,411866,444420,408139,304196,398074,389300,334031,404026,417801
WA_townhouses_$'000,,,,,,,,,,,,,,,,,,,,,,62276,51740,40306,85524,59881,122276,57459,49239,36617,79247,25095,50247,47929,52521,23283,28541,20570,75853,40959,50330,26532
WA_apartments_$'000,,,,,,,,,,,,,,,,,,,,,,16714,5737,37504,49495,67153,128804,77770,39971,24387,6310,19473,21797,15886,61475,70535,49040,36602,33545,21778,63277,3717
WA_other_$'000,,,,,,,,,,,,,,,,,,,,,,78990,57477,77811,135019,127034,251080,135229,89210,61003,85557,44568,72044,63815,113996,93818,77581,57172,109398,62737,113607,30249
