GMG,SCG,DXS,SGP,MGR,LLC,GPT,VXS,CHC,GOZ,Monthly Avg (%)
-3.5447761194029925,-5.301204819277117,-4.46511627906977,-2.6066350710900354,-4.878048780487809,-4.933875890132244,-3.5580524344569153,-2.564102564102555,-1.9525801952580135,-2.794155344783389,-3.6598547498060845
3.4816247582204918,2.5445292620865256,1.8500486854917453,-9.97566909975669,-4.700854700854695,-7.811663991439277,3.689320388349504,1.5037593984962516,0.8534850640113723,-3.744725738396626,-1.2310145973791395
2.5233644859813165,3.2258064516129004,6.022944550669207,3.7837837837837673,3.587443946188351,-28.728961114335473,3.93258426966292,2.2222222222222143,6.488011283497874,4.109589041095885,0.7166788920378964
8.295350957155879,-2.1634615384615308,5.229936880072139,-0.26041666666666297,3.0303030303030276,-0.08143322475570036,3.2432432432432545,-3.985507246376807,6.490066225165547,0.7894736842105399,2.0587555343889683
8.417508417508412,0.7371007371007154,6.341045415595548,1.305483028720622,9.243697478991608,15.647921760391203,6.457242582897016,0.0,10.32338308457712,8.09399477806787,6.656737728385011
3.95962732919255,0.24390243902441266,2.659145850120881,-0.773195876288657,5.769230769230771,-5.8491895701198064,1.80327868852459,-1.8867924528301772,15.783540022547914,0.24154589371983004,2.195109309312231
1.5683345780433067,-3.649635036496357,2.4332810047095865,2.3376623376623273,5.454545454545445,-0.8982035928143617,-2.898550724637672,-0.38461538461539435,-0.9737098344693274,4.337349397590362,0.7326458199517916
1.8382352941176405,-1.262626262626254,1.1494252873563093,12.944162436548234,7.586206896551739,8.157099697885206,0.4975124378109319,3.47490347490349,4.326450344149446,0.4618937644341736,3.917326337113092
8.880866425992773,-1.534526854219953,3.3333333333333437,0.8988764044943753,2.8846153846153744,-6.145251396648055,3.4653465346534684,-2.23880597014926,8.57681432610744,-0.6896551724137834,1.7431613015765723
6.5649867374005355,7.272727272727275,1.9061583577712593,4.677060133630295,3.4267912772585563,12.053571428571441,3.5087719298245723,2.6717557251908275,1.5625,1.388888888888884,4.503321175126365
-3.546981953951467,-0.7263922518159882,-3.5251798561151126,-0.638297872340432,0.3012048192771122,13.280212483399723,-1.5408320493066285,-1.8587360594795488,8.119658119658135,2.054794520547931,1.1919449899873724
-9.354838709677416,-2.4390243902438935,-5.8165548098433995,-2.569593147751603,-7.207207207207212,4.747948417350534,-1.7214397496087552,-1.5151515151515138,-4.5059288537549484,-2.0134228187919434,-3.2395212784680156
1.9217081850533724,-0.7500000000000062,-4.038004750593838,5.054945054945059,2.912621359223322,1.1751538891997537,0.6369426751592355,3.076923076923088,-1.9867549668874163,-0.6849315068493178,0.7318603016173253
3.4916201117318524,0.25188916876575096,0.9075907590759158,5.648535564853541,5.974842767295585,8.29646017699115,-2.689873417721522,0.3731343283581934,-4.222972972972972,1.1494252873563315,1.9180651773733828
-2.564102564102566,-1.2562814070351758,-0.6541291905151292,-1.3861386138613763,-0.29673590504452063,-2.860061287027571,-1.788617886178867,-2.230483271375472,1.4109347442680775,-0.22727272727274261,-1.1852888108145343
4.016620498614953,2.5445292620865256,4.691358024691361,1.0040160642570184,3.571428571428581,-1.4195583596214534,-0.6622516556291425,-2.6615969581748944,11.826086956521742,1.1389521640091216,2.4049584568183815
9.45406125166446,-4.466501240694798,4.009433962264142,5.765407554671964,-2.8735632183908066,2.826666666666666,4.0000000000000036,-1.5625,7.853810264385697,-2.2522522522522626,2.2754562988315064
-7.542579075425804,-15.32467532467533,-5.517762660619807,-10.71428571428572,-6.804733727810652,-10.580912863070557,-5.448717948717952,-14.28571428571428,-14.203316510454211,-4.147465437788012,-9.457016354856233
-8.81578947368421,-34.04907975460123,-22.95999999999999,-35.78947368421053,-26.349206349206355,-30.684454756380507,-30.508474576271194,-34.72222222222223,-33.78151260504202,-25.48076923076923,-28.314098265238748
10.894660894660891,4.186046511627928,-6.542056074766367,17.04918032786886,1.2931034482758674,8.20083682008368,-1.4634146341463317,14.184397163120565,22.969543147208114,3.2258064516129004,7.399810405554611
-0.5855562784645385,12.05357142857142,11.66666666666667,10.924369747899165,5.957446808510647,0.9280742459396807,10.64356435643563,8.074534161490687,4.2311661506708065,6.874999999999987,7.076883728772016
